code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
3.273120028477E12,Crunchy chocolat noir,1000,Celnat,469.0,6.1,21.0,9.3,9.5,0.2,0.0,c,10.0
3.278690085646E12,Emprésuré chocolat intense,500.0,Malo,123.0,1.3,18.0,0.0,7.1,0.29,0.0,b,2.0
3.278690085684E12,Emprésuré au chocolat saveur noisette,500.0,Malo,123.0,1.3,18.0,0.0,7.1,0.29,0.0,b,2.0
3.278692500215E12,Emprésuré chocolat bio,250.0,Malo,104.0,1.2,14.0,0.0,6.2,0.14,0.0,b,2.0
3.278692500321E12,Mousse au chocolat noir,180,Malo,370.0,17.0,23.0,0.0,6.6,0.33,0.0,e,20.0
3.278692500581E12,Emprésuré chocolat saveur Tonka,500.0,Malo,111.0,1.1,17.0,0.0,5.7,0.22,0.0,b,2.0
3.278693504076E12,Emprésuré au chocolat,500.0,Malo,111.0,1.1,18.0,0.0,5.7,0.22,0.0,b,2.0
3.278693604076E12,Emprésuré chocolat,125.0,MALO,115.0,1.1,18.0,0.0,5.7,0.22,0.0,b,2.0
3.278699700007E12,Les miamandises chocolat,125,Les Miamandises,111.0,1.1,18.0,0.0,5.7,0.2,0.0,b,2.0
3.278699700014E12,L'emprésuré Chocolat,500.0,LES MIAMANDISES,123.0,1.3,18.0,0.0,7.1,0.29,0.0,b,2.0
3.278699700304E12,L'emprésuré chocolat saveur noisette,200,Les Miamandises,121.0,1.3,19.0,0.0,6.8,0.27,0.0,c,3.0
3.27E12,Petales au chocolat noir,375.0,La Vie Claire,411.0,4.4,12.0,12.0,11.0,0.02,0.0,c,6.0
3.284230010825E12,8 Briochettes aux Pépites de Chocolat au Lait Bio,320.0,La Boulangère,365.0,4.8,17.5,1.9,8.2,0.9906,0.0,d,14.0
3.288131600208E12,Cool Barre,200,Vitabio,420.0,3.8,23.0,3.9,7.0,0.29,0.0,c,10.0
